name,length,number of words
Four Weddings and a Funeral,23,5
E.T. the Extra-Terrestrial,24,3
Nixon,5,1
Star Wars: Episode III - Revenge of the Sith,36,9
Army of Darkness,14,3
Manhunter,9,1
Catfish,7,1
Tootsie,7,1
Boyz n the Hood,12,4
Do the Right Thing,15,4
Crumb,5,1
A Fish Called Wanda,16,4
To Live and Die in L.A.,18,6
Superman II,10,2
Confessions of a Dangerous Mind,27,5
Paper Moon,9,2
Wo hu cang long,12,4
Angel Heart,10,2
Days of Wine and Roses,18,5
You're Next,10,2
Bugsy Malone,11,2
Gattaca,7,1
Strange Days,11,2
The Other Guys,12,3
L'ennemi public n°1,17,3
Biloxi Blues,11,2
A Simple Plan,11,3
Sleepers,8,1
Letters from Iwo Jima,18,4
Psycho,6,1
The Muppet Christmas Carol,23,4
How to Train Your Dragon,20,5
The World Is Not Enough,19,5
Up in the Air,10,4
Avatar,6,1
Bug,3,1
V for Vendetta,12,3
His Girl Friday,13,3
King of New York,13,4
Adaptation.,11,1
The Butcher Boy,13,3
Dead Man's Shoes,14,3
Punch-Drunk Love,15,2
Master and Commander: The Far Side of the World,39,9
Born on the Fourth of July,21,6
Twin Peaks: Fire Walk with Me,24,6
Irréversible,12,1
Ed Wood,6,2
Nochnoy dozor,12,2
Bad Lieutenant,13,2
The Lincoln Lawyer,16,3
Wanted,6,1
Brokeback Mountain,17,2
Near Dark,8,2
The Wild Bunch,12,3
A Few Good Men,11,4
Enron: The Smartest Guys in the Room,30,7
Predator,8,1
La haine,7,2
The Matrix Reloaded,17,3
The Revenant,11,2
Deadpool,8,1
La vita è bella,12,4
Anvil: The Story of Anvil,21,5
Eden Lake,8,2
The Last Seduction,16,3
In America,9,2
Pinocchio,9,1
Splice,6,1
 Screen Two,9,3
Blood Simple,11,2
The Guest,8,2
Next Goal Wins,12,3
Taxi,4,1
Secretary,9,1
Garden State,11,2
Frost/Nixon,11,1
Ne le dis à personne,16,5
22 Jump Street,12,3
21 Grams,7,2
Bugsy,5,1
Local Hero,9,2
Annie Hall,9,2
Heathers,8,1
Adventureland,13,1
The Conversation,15,2
Watchmen,8,1
The Ghost Writer,14,3
[Rec],5,1
Dnevnoy dozor,12,2
Fish Tank,8,2
Sling Blade,10,2
When Harry Met Sally...,20,4
The Kid Stays in the Picture,23,6
Ferris Bueller's Day Off,21,4
I Love You Phillip Morris,21,5
Rio Bravo,8,2
Kind Hearts and Coronets,21,4
Choke,5,1
The Conjuring,12,2
Body Heat,8,2
The Big Red One,12,4
The Rover,8,2
Moulin Rouge!,12,2
Harry Brown,10,2
The Contender,12,2
Siu Lam juk kau,12,4
Spoorloos,9,1
Michael Collins,14,2
Mad Max 2,7,3
Love and Death,12,3
Blue Valentine,13,2
Slap Shot,8,2
Gremlins 2: The New Batch,21,5
Wall Street,10,2
Tommy,5,1
Gomorra,7,1
The King of Comedy,15,4
House of Games,12,3
The Tree of Life,13,4
Lethal Weapon,12,2
Midsommar,9,1
Stranger Than Fiction,19,3
Into the Abyss,12,3
The Mask,7,2
The Muppets,10,2
Gonzo: The Life and Work of Dr. Hunter S. Thompson,41,10
Prometheus,10,1
Blazing Saddles,14,2
Win Win,6,2
Dead Man Walking,14,3
Mou gaan dou,10,3
The Way of the Gun,14,5
Lawrence of Arabia,16,3
Brüno,5,1
Redbelt,7,1
Lethal Weapon 2,13,3
Atonement,9,1
Lost Highway,11,2
Re-Animator,11,1
The Wizard of Oz,13,4
Iron Man,7,2
The Girl with the Dragon Tattoo,26,6
Incendies,9,1
The Intouchables,15,2
Mr. Smith Goes to Washington,24,5
Celda 211,8,2
The Guard,8,2
Beauty and the Beast,17,4
Pirates of the Caribbean: Dead Man's Chest,36,7
The Big Sleep,11,3
Star Wars: Episode VI - Return of the Jedi,34,9
Easy A,5,2
Babel,5,1
The Maltese Falcon,16,3
In the Line of Fire,15,5
Bringing Out the Dead,18,4
White Heat,9,2
Chasing Amy,10,2
Angela's Ashes,13,2
I'm Not There,11,3
Misery,6,1
The Thomas Crown Affair,20,4
Who Framed Roger Rabbit,20,4
The Treasure of the Sierra Madre,27,6
Lost in Translation,17,3
Primal Fear,10,2
Mulholland Dr.,13,2
Walk the Line,11,3
The China Syndrome,16,3
Narc,4,1
El orfanato,10,2
De rouille et d'os,15,4
Bridesmaids,11,1
Les quatre cents coups,19,4
Hunger,6,1
Koroshiya 1,10,2
The Dark Knight Rises,18,4
X-Men,5,1
Filth,5,1
White Lightnin',14,2
Looper,6,1
La La Land,8,3
Get Out,6,2
Logan,5,1
American Gangster,16,2
Interstellar,12,1
Der amerikanische Freund,22,3
Alan Partridge: Alpha Papa,23,4
X: First Class,12,3
Crash,5,1
Mona Lisa,8,2
Pitch Black,10,2
"Synecdoche, New York",18,3
Us,2,1
The Town,7,2
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,55,12
Mission: Impossible III,21,3
On Her Majesty's Secret Service,27,5
Ace Ventura: Pet Detective,23,4
Sherlock Holmes,14,2
Piranha 3D,9,2
Kingsman: The Secret Service,25,4
Song of the Sea,12,4
Creed,5,1
Star Wars: Episode VIII - The Last Jedi,32,8
Hacksaw Ridge,12,2
Dunkirk,7,1
Kinsey,6,1
Gimme Shelter,12,2
Frenzy,6,1
Amadeus,7,1
Jodaeiye Nader az Simin,20,4
Dallas Buyers Club,16,3
Die Hard: With a Vengeance,22,5
Freeway,7,1
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,54,13
Carlos,6,1
Per qualche dollaro in più,22,5
Ratatouille,11,1
The Funeral,10,2
The Devil's Advocate,18,3
The Player,9,2
Thank You for Smoking,18,4
Seven Psychopaths,16,2
Skyfall,7,1
Hereditary,10,1
Starred Up,9,2
Paddington,10,1
Joe,3,1
Bloody Sunday,12,2
Sen to Chihiro no kamikakushi,25,5
Neds,4,1
Michael,7,1
The Shape of Water,15,4
"Three Billboards Outside Ebbing, Missouri",37,5
Three Identical Strangers,23,3
State of Play,11,3
The Wackness,11,2
Dirty Rotten Scoundrels,21,3
Los ojos de Julia,14,4
Ghostbusters II,14,2
Jackass 3D,9,2
Stake Land,9,2
No,2,1
Empire of the Sun,14,4
Tombstone,9,1
I Heart Huckabees,15,3
The Addiction,12,2
Indiana Jones and the Temple of Doom,30,7
"Paris, je t'aime",14,3
Get Him to the Greek,16,5
Scream,6,1
Iron Man Three,12,3
The Village,10,2
21 Jump Street,12,3
Pacific Rim,10,2
Shoot 'Em Up,10,3
Angels with Dirty Faces,20,4
Rachel Getting Married,20,3
Planet Terror,12,2
Private Parts,12,2
Spring Breakers,14,2
Wag the Dog,9,3
Margin Call,10,2
Cinderella Man,13,2
"Paris, Texas",11,2
Prisoners,9,1
Bone Tomahawk,12,2
Westworld,9,1
The Hateful Eight,15,3
Room,4,1
The Nice Guys,11,3
Hell or High Water,15,4
Nocturnal Animals,16,2
Spotlight,9,1
The Loved Ones,12,3
"Good Morning, Vietnam",19,3
Badlands,8,1
The Class of '92,13,4
Withnail & I,10,3
Bowfinger,9,1
Diamonds Are Forever,18,3
Live and Let Die,13,4
127 Hours,8,2
Jacob's Ladder,13,2
Black Hawk Down,13,3
Machete,7,1
The Adventures of Tintin,21,4
Mission: Impossible II,20,3
A Matter of Life and Death,21,6
Kubo and the Two Strings,20,5
Arbitrage,9,1
Ringu,5,1
Suspiria,8,1
Carrie,6,1
Dark City,8,2
Breakfast at Tiffany's,20,3
Thirteen Days,12,2
Source Code,10,2
The Jungle Book,13,3
Supersonic,10,1
The Killing,10,2
True Lies,8,2
Swimming with Sharks,18,3
Nurse Betty,10,2
Henry: Portrait of a Serial Killer,29,6
Buffalo '66,10,2
Der Untergang,12,2
Sid and Nancy,11,3
Star Wars: Episode I - The Phantom Menace,34,8
Risky Business,13,2
The Last King of Scotland,21,5
Short Cuts,9,2
Witness,7,1
The Limey,8,2
Cast Away,8,2
Gangster No. 1,12,3
The Godfather Part III,19,4
The Crow,7,2
Eastern Promises,15,2
The Hobbit: The Desolation of Smaug,30,6
Manhattan,9,1
Kingpin,7,1
Quantum of Solace,15,3
El mariachi,10,2
Big Trouble in Little China,23,5
The Sting,8,2
Apollo 13,8,2
Noah,4,1
Once,4,1
Captain Fantastic,16,2
Lord of War,9,3
The Last of the Mohicans,20,5
Lone Survivor,12,2
Jumanji,7,1
Apocalypto,10,1
Youth in Revolt,13,3
Lords of Dogtown,14,3
Team America: World Police,23,4
After Hours,10,2
Man on the Moon,12,4
Trolljegeren,12,1
Snitch,6,1
Heavenly Creatures,17,2
Monsoon Wedding,14,2
The Sweet Hereafter,17,3
Cube,4,1
